Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos,Id
1,Christian McCaffrey,355.2,2019,23,CAR,16,16,355.2,471.2,22.20,29.45,RB,McCaCh01
2,Derrick Henry,276.6,2019,25,TEN,15,15,276.6,294.6,18.44,19.64,RB,HenrDe00
3,Aaron Jones,265.8,2019,25,GNB,16,16,265.8,314.8,16.61,19.68,RB,JoneAa00
4,Ezekiel Elliott,257.7,2019,24,DAL,16,16,257.7,311.7,16.11,19.48,RB,ElliEz00
5,Dalvin Cook,239.4,2019,24,MIN,14,14,239.4,292.4,17.10,20.89,RB,CookDa01
6,Nick Chubb,219.2,2019,24,CLE,16,16,219.2,255.2,13.70,15.95,RB,ChubNi00
7,Austin Ekeler,217.0,2019,24,LAC,16,8,217.0,309.0,13.56,19.31,RB,EkelAu00
8,Mark Ingram,216.5,2019,30,BAL,15,15,216.5,242.5,14.43,16.17,RB,IngrMa01
9,Chris Carson,195.6,2019,25,SEA,15,15,195.6,232.6,13.04,15.51,RB,CarsCh00
10,Saquon Barkley,192.1,2019,22,NYG,13,13,192.1,244.1,14.78,18.78,RB,BarkSa00
11,Joe Mixon,190.4,2019,23,CIN,16,15,190.4,225.4,11.90,14.09,RB,MixoJo00
12,Todd Gurley,188.4,2019,25,LAR,15,15,188.4,219.4,12.56,14.63,RB,GurlTo01
13,Leonard Fournette,183.4,2019,24,JAX,15,15,183.4,259.4,12.23,17.29,RB,FourLe00
14,Josh Jacobs,171.6,2019,21,OAK,13,13,171.6,191.6,13.20,14.74,RB,JacoJo01
15,Miles Sanders,168.7,2019,22,PHI,16,11,168.7,218.7,10.54,13.67,RB,SandMi01
16,Alvin Kamara,167.5,2019,24,NOR,14,9,167.5,248.5,11.96,17.75,RB,KamaAl00
17,Marlon Mack,167.3,2019,23,IND,14,12,167.3,181.3,11.95,12.95,RB,MackMa00
18,Kenyan Drake,164.2,2019,25,ARIMIA,14,10,164.2,214.2,11.73,15.30,RB,DrakKe00
19,Phillip Lindsay,162.7,2019,25,DEN,16,16,162.7,197.7,10.17,12.36,RB,LindPh00
20,Raheem Mostert,151.2,2019,27,SFO,16,0,151.2,165.2,9.45,10.33,RB,MostRa00
21,Le'Veon Bell,149.0,2019,27,NYJ,15,15,149.0,215.0,9.93,14.33,RB,BellLe00
22,David Montgomery,145.4,2019,22,CHI,16,8,145.4,170.4,9.09,10.65,RB,MontDa01
23,Carlos Hyde,143.2,2019,29,HOU,16,14,143.2,153.2,8.95,9.58,RB,HydeCa00
24,Sony Michel,140.6,2019,24,NWE,16,14,140.6,152.6,8.79,9.54,RB,MichSo00
25,Melvin Gordon,138.8,2019,26,LAC,12,11,138.8,180.8,11.57,15.07,RB,GordMe00
26,Devonta Freeman,138.6,2019,27,ATL,14,14,138.6,197.6,9.90,14.11,RB,FreeDe00
27,Ronald Jones II,135.3,2019,22,TAM,16,9,135.3,166.3,8.46,10.39,RB,JoneRo01
28,Adrian Peterson,130.0,2019,34,WAS,15,15,130.0,147.0,8.67,9.80,RB,PeteAd01
29,James White,128.2,2019,27,NWE,15,1,128.2,200.2,8.55,13.35,RB,WhitJa02
30,Latavius Murray,123.2,2019,29,NOR,16,8,123.2,157.2,7.70,9.83,RB,MurrLa00
31,Devin Singletary,118.9,2019,22,BUF,12,8,118.9,147.9,9.91,12.33,RB,SingDe00
32,Tevin Coleman,114.4,2019,26,SFO,14,11,114.4,135.4,8.17,9.67,RB,ColeTe01
33,James Conner,111.5,2019,24,PIT,10,10,111.5,145.5,11.15,14.55,RB,ConnJa00
34,Damien Williams,111.1,2019,27,KAN,11,6,111.1,141.1,10.10,12.83,RB,WillDa05
35,Duke Johnson,110.0,2019,26,HOU,16,2,110.0,154.0,6.88,9.63,RB,JohnDu00
36,Jamaal Williams,107.3,2019,24,GNB,14,2,107.3,146.3,7.66,10.45,RB,WillJa06
37,David Johnson,105.5,2019,28,ARI,13,9,105.5,141.5,8.12,10.88,RB,JohnDa08
38,Jordan Howard,101.4,2019,25,PHI,10,4,101.4,111.4,10.14,11.14,RB,HowaJo00
39,Peyton Barber,100.5,2019,25,TAM,16,7,100.5,116.5,6.28,7.28,RB,BarbPe01
40,Royce Freeman,99.2,2019,23,DEN,16,0,99.2,142.2,6.20,8.89,RB,FreeRo00
41,LeSean McCoy,90.6,2019,31,KAN,13,9,90.6,118.6,6.97,9.12,RB,McCoLe01
42,DeAndre Washington,85.9,2019,26,OAK,16,3,85.9,121.9,5.37,7.62,RB,WashDe00
43,Gus Edwards,85.6,2019,24,BAL,16,1,85.6,92.6,5.35,5.79,RB,EdwaGu00
44,Tarik Cohen,84.9,2019,24,CHI,16,11,84.9,163.9,5.31,10.24,RB,CoheTa00
45,Matt Breida,84.3,2019,24,SFO,13,5,84.3,103.3,6.48,7.95,RB,BreiMa00
46,Frank Gore,81.9,2019,36,BUF,16,8,81.9,94.9,5.12,5.93,RB,GoreFr00
47,Kerryon Johnson,75.0,2019,22,DET,8,7,75.0,85.0,9.38,10.63,RB,JohnKe06
48,Tony Pollard,74.2,2019,22,DAL,15,0,74.2,89.2,4.95,5.95,RB,PollTo00
49,Rex Burkhead,74.1,2019,29,NWE,13,1,74.1,101.1,5.70,7.78,RB,BurkRe00
50,Nyheim Hines,73.9,2019,23,IND,16,2,73.9,117.9,4.62,7.37,RB,HineNy00
51,Boston Scott,72.9,2019,24,PHI,11,2,72.9,96.9,6.63,8.81,RB,ScotBo02
52,Chase Edmonds,70.8,2019,23,ARI,13,2,70.8,82.8,5.45,6.37,RB,EdmoCh00
53,Rashaad Penny,67.3,2019,23,SEA,10,0,67.3,75.3,6.73,7.53,RB,PennRa00
54,Kareem Hunt,64.4,2019,24,CLE,8,3,64.4,101.4,8.05,12.68,RB,HuntKa00
55,Alexander Mattison,58.4,2019,21,MIN,13,0,58.4,68.4,4.49,5.26,RB,MattAl01
56,Jaylen Samuels,57.4,2019,23,PIT,14,4,57.4,104.4,4.10,7.46,RB,SamuJa00
57,Brian Hill,57.2,2019,24,ATL,12,2,57.2,67.2,4.77,5.60,RB,HillBr02
58,Malcolm Brown,57.1,2019,26,LAR,14,1,57.1,59.1,4.08,4.22,RB,BrowMa03
59,Benny Snell Jr.,54.9,2019,21,PIT,13,2,54.9,57.9,4.22,4.45,RB,SnelBe00
60,Darrel Williams,52.8,2019,24,KAN,12,0,52.8,67.8,4.40,5.65,RB,WillDa10
61,Chris Thompson,51.6,2019,29,WAS,11,0,51.6,93.6,4.69,8.51,RB,ThomCh03
62,Derrius Guice,50.4,2019,22,WAS,5,1,50.4,57.4,10.08,11.48,RB,GuicDe00
63,J.D. McKissic,49.8,2019,26,DET,16,3,49.8,83.8,3.11,5.24,RB,McKiJ.00
64,Mike Boone,47.0,2019,24,MIN,16,2,47.0,50.0,2.94,3.13,RB,BoonMi00
65,Jordan Wilkins,47.0,2019,25,IND,14,1,47.0,54.0,3.36,3.86,RB,WilkJo01
66,Jalen Richard,46.8,2019,26,OAK,16,0,46.8,82.8,2.93,5.18,RB,RichJa01
67,Patrick Laird,45.2,2019,24,MIA,15,4,45.2,68.2,3.01,4.55,RB,LairPa00
68,Jeff Wilson,43.9,2019,24,SFO,10,0,43.9,46.9,4.39,4.69,RB,WilsJe01
69,Bo Scarbrough,42.2,2019,25,DET,6,5,42.2,43.2,7.03,7.20,RB,ScarBo01
70,Brandon Bolden,41.9,2019,29,NWE,15,2,41.9,50.9,2.79,3.39,RB,BoldBr00
71,Justice Hill,41.5,2019,22,BAL,16,0,41.5,49.5,2.59,3.09,RB,HillJu00
72,Dion Lewis,41.3,2019,29,TEN,16,1,41.3,66.3,2.58,4.14,RB,LewiDi00
73,Dare Ogunbowale,40.3,2019,25,TAM,16,0,40.3,75.3,2.52,4.71,RB,OgunDa00
74,Giovani Bernard,38.4,2019,28,CIN,16,2,38.4,68.4,2.40,4.28,RB,BernGi00
75,Kalen Ballage,37.8,2019,24,MIA,12,6,37.8,51.8,3.15,4.32,RB,BallKa00
76,Ryquell Armstead,37.2,2019,23,JAX,16,1,37.2,51.2,2.33,3.20,RB,ArmsRy00
77,Wayne Gallman,37.2,2019,25,NYG,10,2,37.2,48.2,3.72,4.82,RB,GallWa00
78,Ty Johnson,36.2,2019,22,DET,16,1,36.2,60.2,2.26,3.76,RB,JohnTy02
79,Jonathan Williams,35.4,2019,25,IND,9,1,35.4,40.4,3.93,4.49,RB,WillJo07
80,Kyle Juszczyk,30.6,2019,28,SFO,12,12,30.6,50.6,2.55,4.22,FB,JuszKy00
81,Qadree Ollison,29.7,2019,23,ATL,8,0,29.7,30.7,3.71,3.84,RB,OlliQa00
82,Mark Walton,27.0,2019,22,MIA,7,4,27.0,42.0,3.86,6.00,RB,WaltMa00
83,Anthony Firkser,26.4,2019,24,TEN,15,1,26.4,40.4,1.76,2.69,FB,FirkAn00
84,Bilal Powell,26.2,2019,31,NYJ,13,1,26.2,33.2,2.02,2.55,RB,PoweBi00
85,Dontrell Hilliard,26.1,2019,24,CLE,14,0,26.1,38.1,1.86,2.72,RB,HillDo00
86,Ito Smith,25.3,2019,24,ATL,7,0,25.3,36.3,3.61,5.19,RB,SmitIt00
87,Myles Gaskin,24.4,2019,22,MIA,7,0,24.4,31.4,3.49,4.49,RB,GaskMy00
88,Ameer Abdullah,24.3,2019,26,MIN,16,0,24.3,39.3,1.52,2.46,RB,AbduAm00
89,Reggie Bonnafon,23.3,2019,23,CAR,16,0,23.3,29.3,1.46,1.83,RB,BonnRe00
90,Darwin Thompson,23.1,2019,22,KAN,12,0,23.1,32.1,1.93,2.68,RB,ThomDa06
91,Rhett Ellison,22.7,2019,31,NYG,10,7,22.7,40.7,2.27,4.07,FB,ElliRh00
92,Justin Jackson,22.2,2019,23,LAC,7,0,22.2,31.2,3.17,4.46,RB,JackJu01
